group,aromatic,bonds,dTc,dPc,dVc,dTb,dTf,dA,dB,dC,dD,Na
CH3,FALSE,1,0.0141,-0.0012,65,23.58,-5.1,19.5,-0.00808,0.000153,-9.67E-08,4
CH2,FALSE,11,0.0189,0,56,22.88,11.27,-0.909,0.095,-0.0000544,1.19E-08,3
CH,FALSE,111,0.0164,0.002,41,21.74,12.64,-23,0.204,-0.000265,0.00000012,2
C,FALSE,1111,0.0067,0.0043,27,18.25,46.43,-66.2,0.427,-0.000641,0.000000301,1
CH2,FALSE,2,0.0113,-0.0028,56,18.18,-4.32,23.6,-0.0381,0.000172,-0.000000103,3
CH,FALSE,12,0.0129,-0.0006,46,24.96,8.73,-8,0.105,-0.0000963,3.56E-08,2
C,FALSE,112,0.0117,0.0011,38,24.14,11.14,-28.1,0.208,-0.000306,0.000000146,1
C,FALSE,22,0.0026,0.0028,36,26.15,17.78,27.4,-0.0557,0.000101,-5.02E-08,1
CH,FALSE,3,0.0027,-0.0008,46,9.2,-11.18,24.5,-0.0271,0.000111,-6.78E-08,2
C,FALSE,13,0.002,0.0016,37,27.38,64.32,7.87,0.0201,-0.00000833,1.39E-09,1
CH2,TRUE,11,0.01,0.0025,48,27.15,7.75,-6.03,0.0854,-0.000008,-0.000000018,3
CH,TRUE,111,0.0122,0.0004,38,21.78,19.88,-20.5,0.162,-0.00016,6.24E-08,2
C,TRUE,1111,0.0042,0.0061,27,21.32,60.15,-90.9,0.557,-0.0009,0.000000469,1
CH,TRUE,12,0.0082,0.0011,41,26.73,8.13,-2.14,0.0574,-0.00000164,-1.59E-08,2
C,TRUE,112,0.0143,0.0008,32,31.01,37.02,-8.25,0.101,-0.000142,6.78E-08,1
F,EITHER,1,0.0111,-0.0057,27,-0.03,-15.78,26.5,-0.0913,0.000191,-0.000000103,1
Cl,EITHER,1,0.0105,-0.0049,58,38.13,13.55,33.3,-0.0963,0.000187,-9.96E-08,1
Br,EITHER,1,0.0133,0.0057,71,66.86,43.43,28.6,-0.0649,0.000136,-7.45E-08,1
I,EITHER,1,0.0068,-0.0034,97,93.84,41.69,32.1,-0.0641,0.000126,-6.87E-08,1
OH,EITHER,1,0.0741,0.0112,28,92.88,44.45,25.7,-0.0691,0.000177,-9.88E-08,2
OH,FALSE,11,0.0168,0.0015,18,22.42,22.23,25.5,-0.0632,0.000111,-5.48E-08,2
OH,TRUE,11,0.0098,0.0048,13,31.22,23.05,12.2,-0.0126,0.0000603,-3.86E-08,2
CO,FALSE,112,0.038,0.0031,62,76.75,61.2,6.45,0.067,-0.0000357,2.86E-09,2
CO,TRUE,112,0.0284,0.0028,55,94.97,75.97,30.4,-0.0829,0.000236,-0.000000131,2
OCH,FALSE,1,0.0379,0.003,82,72.24,36.9,30.9,-0.0336,0.00016,-9.88E-08,3
COOH,FALSE,1,0.0791,0.0077,89,169.09,155.5,24.1,0.0427,0.0000804,-6.87E-08,4
COO,FALSE,11,0.0481,0.0005,82,81.1,53.6,24.5,0.0402,0.0000402,-4.52E-08,4
O,FALSE,2,0.0143,0.0101,36,-10.5,2.08,6.82,0.0196,0.0000127,-1.78E-08,1
NH2,FALSE,1,0.0243,0.0109,38,-10.5,2.08,26.9,-0.0412,0.000164,-9.76E-08,3
NH,FALSE,11,0.0295,0.0077,35,50.17,52.66,-1.21,0.0762,-0.0000486,1.05E-08,2
NH,TRUE,11,0.013,0.0114,29,52.82,101.51,11.8,-0.023,0.000107,-6.28E-08,2
N,FALSE,111,0.0169,0.0074,9,11.74,48.84,-31.1,0.227,-0.00032,0.000000146,1
N,FALSE,12,0.0255,-0.0099,0,74.6,0,NaN,NaN,NaN,NaN,1
N,TRUE,12,0.0085,0.0076,34,57.55,68.4,8.83,-0.00384,0.0000435,-0.000000026,1
CN,FALSE,1,0.0496,-0.0101,91,125.66,59.89,36.5,-0.0733,0.000184,-0.000000103,2
NO2,FALSE,1,0.0437,0.0064,91,152.54,127.24,25.9,-0.00374,0.000129,-8.88E-08,3
SH,FALSE,1,0.0031,0.0084,63,63.56,20.09,35.3,-0.0758,0.000185,-0.000000103,2
S,FALSE,11,0.0119,0.0049,54,68.78,34.4,19.6,-0.00561,0.0000402,-2.76E-08,1
S,TRUE,11,0.0019,0.0051,38,52.1,79.93,16.7,0.00481,0.0000277,-2.11E-08,1
